Series	Categories	Values	Category_Num
veh	2410002F23Rik	0.15095355694543808	1
veh	2410002F23Rik	0.3663017231223232	1
veh	2410002F23Rik	0.40869115956804	1
oAB	2410002F23Rik	0.217231441294775	1
oAB	2410002F23Rik	0.06362025779376929	1
oAB	2410002F23Rik	0.30932194972719923	1
gsk	2410002F23Rik	-0.2422169878314427	1
gsk	2410002F23Rik	-0.41598778263156716	1
gsk	2410002F23Rik	-0.59130884043196	1
oAB-gsk	2410002F23Rik	-0.23021395469216366	1
oAB-gsk	2410002F23Rik	-0.3663388653363732	1
oAB-gsk	2410002F23Rik	-0.05760050172763441	1
veh	A2m	0.02575570152672877	2
veh	A2m	-0.07621493343968896	2
veh	A2m	-0.07356307694807099	2
oAB	A2m	0.2620126485745392	2
oAB	A2m	0.12183547597286662	2
oAB	A2m	0.053258387643724134	2
gsk	A2m	-0.5006120656944585	2
gsk	A2m	-0.28154790157771076	2
gsk	A2m	-0.43585765221255673	2
oAB-gsk	A2m	0.09435180152552293	2
oAB-gsk	A2m	0.49938793430554146	2
oAB-gsk	A2m	0.15806723822399343	2
veh	Aaas	-0.02662065810390084	3
veh	Aaas	0.011277630837697436	3
veh	Aaas	-0.4590589235800326	3
oAB	Aaas	-0.3526725091579146	3
oAB	Aaas	0.1868894093770959	3
oAB	Aaas	-0.21640128943542497	3
gsk	Aaas	0.5409410764199675	3
gsk	Aaas	0.1320495676103136	3
gsk	Aaas	0.3321720859671182	3
oAB-gsk	Aaas	-0.12037756126679633	3
oAB-gsk	Aaas	0.17777715029728167	3
oAB-gsk	Aaas	-0.2782991681160069	3
veh	Aacs	0.37405944074175695	4
veh	Aacs	0.05525994249673381	4
veh	Aacs	-0.1654517021524821	4
oAB	Aacs	0.40704662330987784	4
oAB	Aacs	-0.037049618750786835	4
oAB	Aacs	-0.02079266201570947	4
gsk	Aacs	-0.4167760650350133	4
gsk	Aacs	-0.5185054201810066	4
gsk	Aacs	-0.4334152774885566	4
oAB-gsk	Aacs	0.4814945798189933	4
oAB-gsk	Aacs	0.3921353969419366	4
oAB-gsk	Aacs	-0.21254429548928258	4
veh	Aagab	0.05727024887539192	5
veh	Aagab	-0.4634951722768829	5
veh	Aagab	-0.5781674266764997	5
oAB	Aagab	-0.049970347614589725	5
oAB	Aagab	0.4218325733235004	5
oAB	Aagab	0.023345813697522103	5
gsk	Aagab	-0.005743994452214818	5
gsk	Aagab	-0.010750877107345026	5
gsk	Aagab	0.1148683722571483	5
oAB-gsk	Aagab	-0.34420587333826	5
oAB-gsk	Aagab	0.3392235723108216	5
oAB-gsk	Aagab	0.013853919072761577	5
veh	Aak1	0.31563077927582806	6
veh	Aak1	-0.4437301996419607	6
veh	Aak1	-0.007866528320690768	6
oAB	Aak1	0.045322406588228864	6
oAB	Aak1	-0.023888212770586916	6
oAB	Aak1	-0.19380084783670284	6
gsk	Aak1	-0.21852161115689067	6
gsk	Aak1	0.1797021386692531	6
gsk	Aak1	0.5562698003580394	6
oAB-gsk	Aak1	0.1112230335431156	6
oAB-gsk	Aak1	-0.2529071236690861	6
oAB-gsk	Aak1	0.16890629511681912	6
veh	Aamdc	0.1938924958010735	7
veh	Aamdc	0.40008371756279665	7
veh	Aamdc	0.515969576276872	7
oAB	Aamdc	-0.2992502444872332	7
oAB	Aamdc	-0.2757658948353378	7
oAB	Aamdc	0.23363272340798302	7
gsk	Aamdc	-0.13444940530647811	7
gsk	Aamdc	-0.3199687931174361	7
gsk	Aamdc	-0.010776625565626249	7
oAB-gsk	Aamdc	-0.14004535916195227	7
oAB-gsk	Aamdc	-0.484030423723128	7
oAB-gsk	Aamdc	0.32964178807268324	7
veh	Aamp	-0.13676025945322742	8
veh	Aamp	0.27609355001236036	8
veh	Aamp	-0.1009529652874508	8
oAB	Aamp	0.04861552829046596	8
oAB	Aamp	0.2331487283286427	8
oAB	Aamp	0.10026361125709286	8
gsk	Aamp	-0.4264579051327734	8
gsk	Aamp	-0.7239064499876396	8
gsk	Aamp	-0.015006615825306718	8
oAB-gsk	Aamp	0.14598626735192963	8
oAB-gsk	Aamp	0.1545763276385334	8
oAB-gsk	Aamp	0.15588438057909793	8
veh	Aars1	-0.032481422492416805	9
veh	Aars1	-0.05663672141338246	9
veh	Aars1	-0.45458583090661697	9
oAB	Aars1	0.3023652028387195	9
oAB	Aars1	-0.06737592616499223	9
oAB	Aars1	0.24025550937242535	9
gsk	Aars1	-0.33022264332637075	9
gsk	Aars1	-0.3683211823617823	9
gsk	Aars1	-0.2538135438104261	9
oAB-gsk	Aars1	0.5454141690933829	9
oAB-gsk	Aars1	0.36299398270432476	9
oAB-gsk	Aars1	0.22193595395236654	9
veh	Aars2	-0.18455253865784493	10
veh	Aars2	-0.5713371985660833	10
veh	Aars2	0.06640123938920875	10
oAB	Aars2	0.31350676647225	10
oAB	Aars2	-0.5922095253089418	10
oAB	Aars2	-0.3242021493356808	10
gsk	Aars2	0.4077904746910581	10
gsk	Aars2	0.04528485840458331	10
gsk	Aars2	0.15339410615040863	10
oAB-gsk	Aars2	0.24408783669532713	10
oAB-gsk	Aars2	0.016690097041231533	10
oAB-gsk	Aars2	0.3188961189600192	10
veh	Aarsd1	0.30122650771716997	11
veh	Aarsd1	-0.039215091858115246	11
veh	Aarsd1	-0.0006208909083975405	11
oAB	Aarsd1	0.060637050541506476	11
oAB	Aarsd1	0.024929389653794508	11
oAB	Aarsd1	0.0710903459641659	11
gsk	Aarsd1	0.2117732690724321	11
gsk	Aarsd1	-0.061795275667435375	11
gsk	Aarsd1	0.22865705735725464	11
oAB-gsk	Aarsd1	-0.04057051971988417	11
oAB-gsk	Aarsd1	-0.020410039337659686	11
oAB-gsk	Aarsd1	-0.69877349228283	11
veh	Aass	0.0029091313122373602	12
veh	Aass	-0.19927629317699952	12
veh	Aass	-0.0008247463533484266	12
oAB	Aass	-0.43700747139264046	12
oAB	Aass	-0.42274915871198887	12
oAB	Aass	0.4728166896869042	12
gsk	Aass	0.5489709781541067	12
gsk	Aass	-0.09157233207002739	12
gsk	Aass	0.3023062627738698	12
oAB-gsk	Aass	-0.45102902184589333	12
oAB-gsk	Aass	-0.10362781769496404	12
oAB-gsk	Aass	0.02637060644452886	12
veh	Abat	0.5540100115549431	13
veh	Abat	0.3490655691314789	13
veh	Abat	0.16042225181153055	13
oAB	Abat	-0.08234905332634111	13
oAB	Abat	-0.3731801017151502	13
oAB	Abat	-0.44598998844505683	13
gsk	Abat	-0.10640889778721986	13
gsk	Abat	0.3858928074709888	13
gsk	Abat	-0.012133566969985219	13
oAB-gsk	Abat	0.09593595402612698	13
oAB-gsk	Abat	-0.13216936403922674	13
oAB-gsk	Abat	-0.42129981263661975	13
veh	Abca1	-0.2782156956640678	14
veh	Abca1	0.02077664242679941	14
veh	Abca1	0.03441586116283762	14
oAB	Abca1	0.2195451101258436	14
oAB	Abca1	0.008016564685234106	14
oAB	Abca1	0.05585142249784176	14
gsk	Abca1	-0.1894055985361236	14
gsk	Abca1	-0.32341437043050997	14
gsk	Abca1	-0.550968176632463	14
oAB-gsk	Abca1	0.2949612772684525	14
oAB-gsk	Abca1	0.11538143479387844	14
oAB-gsk	Abca1	0.449031823367537	14
veh	Abca2	0.4718014459624066	15
veh	Abca2	0.3789725325871758	15
veh	Abca2	0.29757178418514263	15
oAB	Abca2	-0.5281985540375934	15
oAB	Abca2	-0.2874217212108537	15
oAB	Abca2	-0.3806291228487639	15
gsk	Abca2	-0.0020978757805102184	15
gsk	Abca2	0.39571473857177203	15
gsk	Abca2	0.44173764087600464	15
oAB-gsk	Abca2	-0.24050911741447645	15
oAB-gsk	Abca2	-0.37246381602578155	15
oAB-gsk	Abca2	-0.27487671037939854	15
veh	Abca3	0.21980798216282418	16
veh	Abca3	0.16213841464676126	16
veh	Abca3	0.03644400850223828	16
oAB	Abca3	-0.33392894794308126	16
oAB	Abca3	-0.7112448503807783	16
oAB	Abca3	-0.016827468202978934	16
gsk	Abca3	0.03671778604496131	16
gsk	Abca3	-0.5610120240915556	16
gsk	Abca3	-0.061935549985796055	16
oAB-gsk	Abca3	0.2887551496192217	16
oAB-gsk	Abca3	0.07839839251796372	16
oAB-gsk	Abca3	0.14230648246205727	16
veh	Abca8b	0.34100083564817946	17
veh	Abca8b	0.015452382612316937	17
veh	Abca8b	0.4055515094167587	17
oAB	Abca8b	-0.03774317545210239	17
oAB	Abca8b	-0.13025612207652498	17
oAB	Abca8b	0.004796579842545201	17
gsk	Abca8b	-0.1447171770050768	17
gsk	Abca8b	0.2546222315923324	17
gsk	Abca8b	0.03700421951142744	17
oAB-gsk	Abca8b	-0.09125323130672432	17
oAB-gsk	Abca8b	-0.2018542236620334	17
oAB-gsk	Abca8b	-0.5944484905832413	17
veh	Abcb10	-0.2942362897545498	18
veh	Abcb10	-0.10979873351598383	18
veh	Abcb10	-0.20745679093535804	18
oAB	Abcb10	0.11108416834027744	18
oAB	Abcb10	0.10638364405882866	18
oAB	Abcb10	-0.6674598637628855	18
gsk	Abcb10	0.2724716491242287	18
gsk	Abcb10	0.31159414116156775	18
gsk	Abcb10	-0.21690386250108654	18
oAB-gsk	Abcb10	0.07757963268649179	18
oAB-gsk	Abcb10	0.33254013623711465	18
oAB-gsk	Abcb10	0.14676279748885232	18
veh	Abcb6	0.298342804948746	19
veh	Abcb6	0.29150096352647803	19
veh	Abcb6	0.2392118943229112	19
oAB	Abcb6	-0.1351773575275777	19
oAB	Abcb6	-0.6933824942956701	19
oAB	Abcb6	0.23635478286136066	19
gsk	Abcb6	0.16167254071613196	19
gsk	Abcb6	0.2182517097992995	19
gsk	Abcb6	0.30661750570432994	19
oAB-gsk	Abcb6	-0.3966642681387081	19
oAB-gsk	Abcb6	-0.37936893689701473	19
oAB-gsk	Abcb6	-0.4265301678739176	19
veh	Abcb7	-0.5161743304107425	20
veh	Abcb7	0.05093545944170185	20
veh	Abcb7	0.01003708176956375	20
oAB	Abcb7	0.09357147480943698	20
oAB	Abcb7	-0.20750136252247064	20
oAB	Abcb7	0.4838256695892576	20
gsk	Abcb7	0.12597414089943754	20
gsk	Abcb7	-0.053436255436384264	20
gsk	Abcb7	0.21638758392116333	20
oAB-gsk	Abcb7	-0.22120010821377734	20
oAB-gsk	Abcb7	-0.059539518842319276	20
oAB-gsk	Abcb7	-0.010401229142308187	20
veh	Abcb8	0.038923500501537055	21
veh	Abcb8	0.6103329925557434	21
veh	Abcb8	0.03870048769215433	21
oAB	Abcb8	0.06133210619678344	21
oAB	Abcb8	-0.015954694196626696	21
oAB	Abcb8	-0.22827278963478687	21
gsk	Abcb8	-0.08930978306877994	21
gsk	Abcb8	0.14141785660480125	21
gsk	Abcb8	-0.15169081515603533	21
oAB-gsk	Abcb8	-0.38966700744425653	21
oAB-gsk	Abcb8	0.12701491876477006	21
oAB-gsk	Abcb8	-0.28071779751651205	21
veh	Abcc1	-0.45593528924175647	22
veh	Abcc1	-0.09468528435400868	22
veh	Abcc1	-0.21873889589398024	22
oAB	Abcc1	0.024222893796304386	22
oAB	Abcc1	0.1671394453046869	22
oAB	Abcc1	-0.06372450415066898	22
gsk	Abcc1	-0.44655481531930824	22
gsk	Abcc1	-0.032011550864088606	22
gsk	Abcc1	-0.37022725874357937	22
oAB-gsk	Abcc1	-0.053706139805821465	22
oAB-gsk	Abcc1	0.532477036682234	22
oAB-gsk	Abcc1	0.5440647107582437	22
veh	Abcc4	-0.11338820857177251	23
veh	Abcc4	0.13372002629722812	23
veh	Abcc4	0.4763935842533561	23
oAB	Abcc4	0.37546262942281616	23
oAB	Abcc4	-0.48366858204791197	23
oAB	Abcc4	0.009313466891687845	23
gsk	Abcc4	0.051752333207056515	23
gsk	Abcc4	-0.18383856003263585	23
gsk	Abcc4	-0.4687416404466971	23
oAB-gsk	Abcc4	-0.2809612513277552	23
oAB-gsk	Abcc4	0.5163314179520879	23
oAB-gsk	Abcc4	0.01456823649931896	23
veh	Abcd1	0.39874007242505466	24
veh	Abcd1	0.10091004568383624	24
veh	Abcd1	0.08208331088096384	24
oAB	Abcd1	-0.2130480494215724	24
oAB	Abcd1	-0.2162495647479587	24
oAB	Abcd1	-0.02113012067218728	24
gsk	Abcd1	0.41886382093499425	24
gsk	Abcd1	0.20188660356929577	24
gsk	Abcd1	0.38892619406239143	24
oAB-gsk	Abcd1	-0.2682181261322937	24
oAB-gsk	Abcd1	-0.2925711775356555	24
oAB-gsk	Abcd1	-0.5811361790650057	24
veh	Abcd3	0.48212719252034225	25
veh	Abcd3	0.20485037200221712	25
veh	Abcd3	-0.017520809488367407	25
oAB	Abcd3	0.019629541263697158	25
oAB	Abcd3	-0.11031977178769642	25
oAB	Abcd3	0.2642725203563999	25
gsk	Abcd3	-0.24270903915776604	25
gsk	Abcd3	0.23420766169293636	25
gsk	Abcd3	0.08651107508765042	25
oAB-gsk	Abcd3	-0.17176033777727964	25
