Series	Categories	Values	Category_Num
veh	Adss2	-0.15785810101474673	1.55
veh	Adss2	-0.20100415237781832	1.55
veh	Adss2	-0.4583475561378667	1.55
oAB	Adss2	-0.16860509275036056	1.85
oAB	Adss2	-0.22303441323369064	1.85
oAB	Adss2	-0.3794586713867882	1.85
gsk	Adss2	0.05220847810216843	2.15
gsk	Adss2	0.09252383861830803	2.15
gsk	Adss2	-0.012920989395281596	2.15
oAB-gsk	Adss2	0.5416524438621332	2.45
oAB-gsk	Adss2	0.5286637741313144	2.45
oAB-gsk	Adss2	0.27746282210599743	2.45
veh	Anp32a	-0.13918677488329473	3.55
veh	Anp32a	-0.5403251323908168	3.55
veh	Anp32a	-0.22884164413032818	3.55
oAB	Anp32a	-0.20905249213412455	3.85
oAB	Anp32a	-0.07870584022069452	3.85
oAB	Anp32a	-0.024791634238740277	3.85
gsk	Anp32a	0.07209420679101318	4.15
gsk	Anp32a	-0.029737481068649946	4.15
gsk	Anp32a	0.009688638370235966	4.15
oAB-gsk	Anp32a	0.45967486760918314	4.45
oAB-gsk	Anp32a	0.26685510465208045	4.45
oAB-gsk	Anp32a	0.24921933549670092	4.45
veh	Arpc1b	-0.23390825821834005	5.55
veh	Arpc1b	-0.06873720001820252	5.55
veh	Arpc1b	-0.30890821557336184	5.55
oAB	Arpc1b	-0.04656263282469417	5.85
oAB	Arpc1b	0.16334377945583528	5.85
oAB	Arpc1b	-0.17187461936008874	5.85
gsk	Arpc1b	-0.058411732831511985	6.15
gsk	Arpc1b	-0.2145557168016694	6.15
gsk	Arpc1b	-0.3629096510962166	6.15
oAB-gsk	Arpc1b	0.2911733825895362	6.45
oAB-gsk	Arpc1b	0.33509775897720395	6.45
oAB-gsk	Arpc1b	0.6370903489037834	6.45
veh	Atp5pf	-0.060693230580906685	7.55
veh	Atp5pf	-0.2538636182124789	7.55
veh	Atp5pf	-0.32395567471984893	7.55
oAB	Atp5pf	0.022567987747486477	7.85
oAB	Atp5pf	-0.3939440961263622	7.85
oAB	Atp5pf	-0.41820828762696277	7.85
gsk	Atp5pf	-0.10466047665444447	8.15
gsk	Atp5pf	-0.24067008330967848	8.15
gsk	Atp5pf	0.04835700378562831	8.15
oAB-gsk	Atp5pf	0.5817917123730373	8.45
oAB-gsk	Atp5pf	0.49802906085190535	8.45
oAB-gsk	Atp5pf	0.07390766199992693	8.45
veh	Cfl1	-0.41127709161509396	9.55
veh	Cfl1	-0.40789200869777725	9.55
veh	Cfl1	-0.43301733624241634	9.55
oAB	Cfl1	-0.4126851532312387	9.85
oAB	Cfl1	-0.4329839146748089	9.85
oAB	Cfl1	-0.43381610204103427	9.85
